Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_75_449,VGND,li1,227.7000,228.4800,0.000001
FILLER_75_445,VGND,li1,225.6300,228.4800,0.000001
FILLER_75_433,VGND,li1,222.1800,228.4800,0.000001
FILLER_75_421,VGND,li1,216.6600,228.4800,0.000001
FILLER_75_417,VGND,li1,212.7500,228.4800,0.000001
FILLER_75_405,VGND,li1,209.3000,228.4800,0.000001
FILLER_75_393,VGND,li1,203.7800,228.4800,0.000001
FILLER_75_386,VGND,li1,199.1800,228.4800,0.000001
FILLER_75_374,VGND,li1,195.0400,228.4800,0.000001
FILLER_75_369,VGND,li1,190.2100,228.4800,0.000002
FILLER_75_365,VGND,li1,189.0600,228.4800,0.000002
FILLER_75_360,VGND,li1,186.7600,228.4800,0.000002
FILLER_75_355,VGND,li1,183.7700,228.4800,0.000003
FILLER_75_349,VGND,li1,182.1600,228.4800,0.000003
FILLER_75_337,VGND,li1,178.0200,228.4800,0.000003
FILLER_75_335,VGND,li1,174.5700,228.4800,0.000004
FILLER_75_331,VGND,li1,173.4200,228.4800,0.000004
FILLER_75_325,VGND,li1,170.4300,228.4800,0.000004
FILLER_75_317,VGND,li1,166.9800,228.4800,0.000005
FILLER_75_312,VGND,li1,164.2200,228.4800,0.000005
FILLER_75_304,VGND,li1,161.0000,228.4800,0.000005
FILLER_75_297,VGND,li1,157.5500,228.4800,0.000006
FILLER_75_290,VGND,li1,154.3300,228.4800,0.000006
FILLER_75_285,VGND,li1,151.5700,228.4800,0.000006
FILLER_75_281,VGND,li1,150.4200,228.4800,0.000006
FILLER_75_276,VGND,li1,148.1200,228.4800,0.000006
FILLER_75_270,VGND,li1,144.9000,228.4800,0.000006
FILLER_75_262,VGND,li1,142.6000,228.4800,0.000006
FILLER_75_256,VGND,li1,138.4600,228.4800,0.000006
FILLER_75_248,VGND,li1,135.2400,228.4800,0.000006
FILLER_75_240,VGND,li1,131.5600,228.4800,0.000007
FILLER_75_228,VGND,li1,127.8800,228.4800,0.000007
FILLER_75_221,VGND,li1,122.5900,228.4800,0.000007
FILLER_75_213,VGND,li1,120.0600,228.4800,0.000007
FILLER_75_206,VGND,li1,115.6900,228.4800,0.000007
FILLER_75_200,VGND,li1,112.7000,228.4800,0.000007
FILLER_75_195,VGND,li1,110.1700,228.4800,0.000007
FILLER_75_191,VGND,li1,109.0200,228.4800,0.000007
FILLER_75_185,VGND,li1,106.0300,228.4800,0.000006
FILLER_75_178,VGND,li1,102.8100,228.4800,0.000006
FILLER_75_173,VGND,li1,100.0500,228.4800,0.000006
FILLER_75_164,VGND,li1,96.6000,228.4800,0.000006
FILLER_75_158,VGND,li1,93.3800,228.4800,0.000006
FILLER_75_150,VGND,li1,91.0800,228.4800,0.000006
FILLER_75_145,VGND,li1,87.1700,228.4800,0.000005
FILLER_75_141,VGND,li1,86.0200,228.4800,0.000005
FILLER_75_137,VGND,li1,83.9500,228.4800,0.000005
FILLER_75_129,VGND,li1,81.4200,228.4800,0.000005
FILLER_75_113,VGND,li1,74.9800,228.4800,0.000004
FILLER_75_109,VGND,li1,71.0700,228.4800,0.000004
FILLER_75_97,VGND,li1,67.6200,228.4800,0.000004
FILLER_75_85,VGND,li1,62.1000,228.4800,0.000003
FILLER_75_81,VGND,li1,58.1900,228.4800,0.000003
FILLER_75_69,VGND,li1,54.7400,228.4800,0.000002
FILLER_75_57,VGND,li1,49.2200,228.4800,0.000002
FILLER_75_53,VGND,li1,45.3100,228.4800,0.000001
FILLER_75_41,VGND,li1,41.8600,228.4800,0.000001
FILLER_75_29,VGND,li1,36.3400,228.4800,0.000001
FILLER_75_27,VGND,li1,32.8900,228.4800,0.000001
FILLER_75_15,VGND,li1,29.9000,228.4800,0.000001
FILLER_75_3,VGND,li1,24.3800,228.4800,0.000001
FILLER_74_445,VGND,li1,226.7800,223.0400,0.000000
FILLER_74_433,VGND,li1,222.1800,223.0400,0.000000
FILLER_74_421,VGND,li1,216.6600,223.0400,0.000000
FILLER_74_419,VGND,li1,213.2100,223.0400,0.000000
FILLER_74_413,VGND,li1,211.6000,223.0400,0.000000
FILLER_74_401,VGND,li1,207.4600,223.0400,0.000000
FILLER_74_389,VGND,li1,201.9400,223.0400,0.000000
FILLER_74_377,VGND,li1,196.4200,223.0400,0.000000
FILLER_74_365,VGND,li1,190.9000,223.0400,0.000000
FILLER_74_363,VGND,li1,187.4500,223.0400,0.000000
FILLER_74_357,VGND,li1,185.8400,223.0400,0.000000
FILLER_74_345,VGND,li1,181.7000,223.0400,0.000000
FILLER_74_333,VGND,li1,176.1800,223.0400,0.000000
FILLER_74_321,VGND,li1,170.6600,223.0400,0.000000
FILLER_74_309,VGND,li1,165.1400,223.0400,0.000000
FILLER_74_307,VGND,li1,161.6900,223.0400,0.000000
FILLER_74_301,VGND,li1,160.0800,223.0400,0.000000
FILLER_74_289,VGND,li1,155.9400,223.0400,0.000000
FILLER_74_277,VGND,li1,150.4200,223.0400,0.000000
FILLER_74_265,VGND,li1,144.9000,223.0400,0.000000
FILLER_74_253,VGND,li1,139.3800,223.0400,0.000000
FILLER_74_251,VGND,li1,135.9300,223.0400,0.000000
FILLER_74_245,VGND,li1,134.3200,223.0400,0.000000
FILLER_74_233,VGND,li1,130.1800,223.0400,0.000000
FILLER_74_221,VGND,li1,124.6600,223.0400,0.000000
FILLER_74_209,VGND,li1,119.1400,223.0400,0.000000
FILLER_74_197,VGND,li1,113.6200,223.0400,0.000000
FILLER_74_195,VGND,li1,110.1700,223.0400,0.000000
FILLER_74_189,VGND,li1,108.5600,223.0400,0.000000
FILLER_74_177,VGND,li1,104.4200,223.0400,0.000000
FILLER_74_165,VGND,li1,98.9000,223.0400,0.000000
FILLER_74_153,VGND,li1,93.3800,223.0400,0.000000
FILLER_74_141,VGND,li1,87.8600,223.0400,0.000000
FILLER_74_139,VGND,li1,84.4100,223.0400,0.000000
FILLER_74_133,VGND,li1,82.8000,223.0400,0.000000
FILLER_74_121,VGND,li1,78.6600,223.0400,0.000000
FILLER_74_109,VGND,li1,73.1400,223.0400,0.000000
FILLER_74_97,VGND,li1,67.6200,223.0400,0.000000
FILLER_74_85,VGND,li1,62.1000,223.0400,0.000000
FILLER_74_83,VGND,li1,58.6500,223.0400,0.000000
FILLER_74_77,VGND,li1,57.0400,223.0400,0.000000
FILLER_74_65,VGND,li1,52.9000,223.0400,0.000000
FILLER_74_53,VGND,li1,47.3800,223.0400,0.000000
FILLER_74_41,VGND,li1,41.8600,223.0400,0.000000
FILLER_74_29,VGND,li1,36.3400,223.0400,0.000000
FILLER_74_27,VGND,li1,32.8900,223.0400,0.000000
FILLER_74_15,VGND,li1,29.9000,223.0400,0.000000
FILLER_74_3,VGND,li1,24.3800,223.0400,0.000000
FILLER_73_449,VGND,li1,227.7000,223.0400,0.000000
FILLER_73_447,VGND,li1,226.0900,223.0400,0.000000
FILLER_73_441,VGND,li1,224.4800,223.0400,0.000000
FILLER_73_429,VGND,li1,220.3400,223.0400,0.000000
FILLER_73_417,VGND,li1,214.8200,223.0400,0.000000
FILLER_73_405,VGND,li1,209.3000,223.0400,0.000000
FILLER_73_393,VGND,li1,203.7800,223.0400,0.000000
FILLER_73_391,VGND,li1,200.3300,223.0400,0.000000
FILLER_73_385,VGND,li1,198.7200,223.0400,0.000000
FILLER_73_373,VGND,li1,194.5800,223.0400,0.000000
FILLER_73_361,VGND,li1,189.0600,223.0400,0.000000
FILLER_73_349,VGND,li1,183.5400,223.0400,0.000000
FILLER_73_337,VGND,li1,178.0200,223.0400,0.000000
FILLER_73_335,VGND,li1,174.5700,223.0400,0.000000
FILLER_73_329,VGND,li1,172.9600,223.0400,0.000000
FILLER_73_317,VGND,li1,168.8200,223.0400,0.000000
FILLER_73_305,VGND,li1,163.3000,223.0400,0.000000
FILLER_73_293,VGND,li1,157.7800,223.0400,0.000000
FILLER_73_281,VGND,li1,152.2600,223.0400,0.000000
FILLER_73_279,VGND,li1,148.8100,223.0400,0.000000
FILLER_73_273,VGND,li1,147.2000,223.0400,0.000000
FILLER_73_261,VGND,li1,143.0600,223.0400,0.000000
FILLER_73_249,VGND,li1,137.5400,223.0400,0.000000
FILLER_73_237,VGND,li1,132.0200,223.0400,0.000000
FILLER_73_225,VGND,li1,126.5000,223.0400,0.000000
FILLER_73_223,VGND,li1,123.0500,223.0400,0.000000
FILLER_73_217,VGND,li1,121.4400,223.0400,0.000000
FILLER_73_205,VGND,li1,117.3000,223.0400,0.000000
FILLER_73_193,VGND,li1,111.7800,223.0400,0.000000
FILLER_73_181,VGND,li1,106.2600,223.0400,0.000000
FILLER_73_169,VGND,li1,100.7400,223.0400,0.000000
FILLER_73_167,VGND,li1,97.2900,223.0400,0.000000
FILLER_73_161,VGND,li1,95.6800,223.0400,0.000000
FILLER_73_149,VGND,li1,91.5400,223.0400,0.000000
FILLER_73_137,VGND,li1,86.0200,223.0400,0.000000
FILLER_73_125,VGND,li1,80.5000,223.0400,0.000000
FILLER_73_113,VGND,li1,74.9800,223.0400,0.000000
FILLER_73_111,VGND,li1,71.5300,223.0400,0.000000
FILLER_73_105,VGND,li1,69.9200,223.0400,0.000000
FILLER_73_93,VGND,li1,65.7800,223.0400,0.000000
FILLER_73_81,VGND,li1,60.2600,223.0400,0.000000
FILLER_73_69,VGND,li1,54.7400,223.0400,0.000000
FILLER_73_57,VGND,li1,49.2200,223.0400,0.000000
FILLER_73_55,VGND,li1,45.7700,223.0400,0.000000
FILLER_73_51,VGND,li1,44.6200,223.0400,0.000000
FILLER_73_39,VGND,li1,40.9400,223.0400,0.000000
FILLER_73_27,VGND,li1,35.4200,223.0400,0.000000
FILLER_73_15,VGND,li1,29.9000,223.0400,0.000000
FILLER_73_3,VGND,li1,24.3800,223.0400,0.000000
FILLER_72_445,VGND,li1,226.7800,217.6000,0.000000
FILLER_72_433,VGND,li1,222.1800,217.6000,0.000000
FILLER_72_421,VGND,li1,216.6600,217.6000,0.000000
FILLER_72_419,VGND,li1,213.2100,217.6000,0.000000
FILLER_72_413,VGND,li1,211.6000,217.6000,0.000000
FILLER_72_401,VGND,li1,207.4600,217.6000,0.000000
FILLER_72_389,VGND,li1,201.9400,217.6000,0.000000
FILLER_72_377,VGND,li1,196.4200,217.6000,0.000000
FILLER_72_365,VGND,li1,190.9000,217.6000,0.000000
FILLER_72_363,VGND,li1,187.4500,217.6000,0.000000
FILLER_72_357,VGND,li1,185.8400,217.6000,0.000000
FILLER_72_345,VGND,li1,181.7000,217.6000,0.000000
FILLER_72_333,VGND,li1,176.1800,217.6000,0.000000
FILLER_72_321,VGND,li1,170.6600,217.6000,0.000000
FILLER_72_309,VGND,li1,165.1400,217.6000,0.000000
FILLER_72_307,VGND,li1,161.6900,217.6000,0.000000
FILLER_72_301,VGND,li1,160.0800,217.6000,0.000000
FILLER_72_289,VGND,li1,155.9400,217.6000,0.000000
FILLER_72_277,VGND,li1,150.4200,217.6000,0.000000
FILLER_72_265,VGND,li1,144.9000,217.6000,0.000000
FILLER_72_253,VGND,li1,139.3800,217.6000,0.000000
FILLER_72_251,VGND,li1,135.9300,217.6000,0.000000
FILLER_72_245,VGND,li1,134.3200,217.6000,0.000000
FILLER_72_233,VGND,li1,130.1800,217.6000,0.000000
FILLER_72_221,VGND,li1,124.6600,217.6000,0.000000
FILLER_72_209,VGND,li1,119.1400,217.6000,0.000000
FILLER_72_197,VGND,li1,113.6200,217.6000,0.000000
FILLER_72_195,VGND,li1,110.1700,217.6000,0.000000
FILLER_72_189,VGND,li1,108.5600,217.6000,0.000000
FILLER_72_177,VGND,li1,104.4200,217.6000,0.000000
FILLER_72_165,VGND,li1,98.9000,217.6000,0.000000
FILLER_72_153,VGND,li1,93.3800,217.6000,0.000000
FILLER_72_141,VGND,li1,87.8600,217.6000,0.000000
FILLER_72_139,VGND,li1,84.4100,217.6000,0.000000
FILLER_72_133,VGND,li1,82.8000,217.6000,0.000000
FILLER_72_121,VGND,li1,78.6600,217.6000,0.000000
FILLER_72_109,VGND,li1,73.1400,217.6000,0.000000
FILLER_72_97,VGND,li1,67.6200,217.6000,0.000000
FILLER_72_85,VGND,li1,62.1000,217.6000,0.000000
FILLER_72_83,VGND,li1,58.6500,217.6000,0.000000
FILLER_72_77,VGND,li1,57.0400,217.6000,0.000000
FILLER_72_65,VGND,li1,52.9000,217.6000,0.000000
FILLER_72_53,VGND,li1,47.3800,217.6000,0.000000
FILLER_72_41,VGND,li1,41.8600,217.6000,0.000000
FILLER_72_29,VGND,li1,36.3400,217.6000,0.000000
FILLER_72_27,VGND,li1,32.8900,217.6000,0.000000
FILLER_72_15,VGND,li1,29.9000,217.6000,0.000000
FILLER_72_3,VGND,li1,24.3800,217.6000,0.000000
FILLER_71_449,VGND,li1,227.7000,217.6000,0.000000
FILLER_71_447,VGND,li1,226.0900,217.6000,0.000000
FILLER_71_441,VGND,li1,224.4800,217.6000,0.000000
FILLER_71_429,VGND,li1,220.3400,217.6000,0.000000
FILLER_71_417,VGND,li1,214.8200,217.6000,0.000000
FILLER_71_405,VGND,li1,209.3000,217.6000,0.000000
FILLER_71_393,VGND,li1,203.7800,217.6000,0.000000
FILLER_71_391,VGND,li1,200.3300,217.6000,0.000000
FILLER_71_385,VGND,li1,198.7200,217.6000,0.000000
FILLER_71_373,VGND,li1,194.5800,217.6000,0.000000
FILLER_71_361,VGND,li1,189.0600,217.6000,0.000000
FILLER_71_349,VGND,li1,183.5400,217.6000,0.000000
FILLER_71_337,VGND,li1,178.0200,217.6000,0.000000
FILLER_71_335,VGND,li1,174.5700,217.6000,0.000000
FILLER_71_329,VGND,li1,172.9600,217.6000,0.000000
FILLER_71_317,VGND,li1,168.8200,217.6000,0.000000
